Pitch No,Date,Pitcher,Pitch Type,Velocity,Total Spin,True Spin,Spin Efficiency,Spin Direction,Vertical Break,Horizontal Break,Release Height,Release Side,Extension,Strike Zone Side,Strike Zone Height
1,2026-05-15 14:02:11,Marcus Vance,Four-Seam,91.2,2255,2183,96.8,01:15,18.2,-7.1,5.9,2.1,6.2,-0.3,2.8
2,2026-05-15 14:02:56,Marcus Vance,Four-Seam,92.1,2310,2245,97.2,01:00,18.5,-6.9,5.9,2.0,6.3,-0.2,3.0
3,2026-05-15 14:03:41,Marcus Vance,Two-Seam,89.5,2180,2073,95.1,02:30,12.3,-15.1,5.8,2.2,6.1,0.4,2.6
4,2026-05-15 14:04:26,Marcus Vance,Four-Seam,91.8,2290,2233,97.5,01:15,18.7,-7.0,5.9,2.1,6.2,-0.4,2.9
5,2026-05-15 14:05:11,Marcus Vance,Slider,83.1,2420,828,34.2,08:45,-2.1,5.2,5.8,2.3,5.1,0.8,2.2
6,2026-05-15 14:05:56,Marcus Vance,Slider,78.4,2380,438,18.4,09:15,-4.2,15.8,5.7,2.3,5.0,1.1,1.8
7,2026-05-15 14:06:41,Marcus Vance,Two-Seam,89.8,2210,2096,94.8,02:30,12.6,-15.3,5.8,2.2,6.1,0.2,2.7
8,2026-05-15 14:07:26,Marcus Vance,Four-Seam,91.5,2275,2204,96.9,01:15,18.4,-7.0,5.9,2.1,6.2,-0.1,2.9
9,2026-05-15 14:08:11,Marcus Vance,Slider,79.1,2395,402,16.8,09:15,-4.5,16.2,5.7,2.3,5.0,1.2,1.7
10,2026-05-15 14:08:56,Marcus Vance,Slider,83.5,2435,823,33.8,08:45,-2.3,5.4,5.8,2.3,5.1,0.7,2.3
